State,Census_Year,Census_Source,Census_Dataset,Census_Table,Population_Universe,Geography_Type,Geography_ID,Geography_Name,Population_18Plus,Hispanic_Latino_18Plus,Not_Hispanic_18Plus,Not_Hispanic_White_18Plus,Not_Hispanic_Black_18Plus,Not_Hispanic_AIAN_18Plus,Not_Hispanic_Asian_18Plus,Not_Hispanic_NHPI_18Plus,Not_Hispanic_Other_Race_18Plus,Not_Hispanic_TwoPlus_Races_18Plus
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48001,Anderson County,47381,8350,39031,27667,9809,157,317,10,71,1000
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48003,Andrews County,12948,6731,6217,5636,160,71,72,0,24,254
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48005,Angelina County,65058,12872,52186,40104,9429,156,709,30,124,1634
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48007,Aransas County,19816,4397,15419,13935,187,119,388,15,72,703
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48009,Archer County,6612,474,6138,5811,25,51,17,0,6,228
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48011,Armstrong County,1427,85,1342,1258,6,17,9,0,2,50
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48013,Atascosa County,35983,21784,14199,12906,262,108,139,12,121,651
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48015,Austin County,23157,5357,17800,15123,1787,65,165,8,78,574
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48017,Bailey County,4838,2946,1892,1782,32,11,8,0,15,44
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48019,Bandera County,17349,2948,14401,13395,88,95,79,1,58,685
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48021,Bastrop County,73027,27108,45919,38286,4347,263,595,49,288,2091
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48023,Baylor County,2636,275,2361,2212,41,11,6,0,1,90
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48025,Bee County,25022,14920,10102,7344,2177,47,187,1,45,301
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48027,Bell County,272163,61176,210987,126124,58017,1137,9035,2441,1353,12880
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48029,Bexar County,1512388,854043,658345,446153,113355,3701,51532,2051,5866,35687
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48031,Blanco County,9421,1514,7907,7461,62,18,31,0,44,291
Texas,2020,U.S. Census Bureau,2020 Decennial Census PL 94-171,P4,Population 18 years and over,County,48033,Borden County,471,53,418,414,0,0,0,0,0,4
