"Time","""DWI"""
"2022-01-01",57
"2022-02-01",63
"2022-03-01",61
"2022-04-01",59
"2022-05-01",56
"2022-06-01",56
"2022-07-01",41
"2022-08-01",50
"2022-09-01",47
"2022-10-01",38
"2022-11-01",48
"2022-12-01",38
"2023-01-01",48
"2023-02-01",41
"2023-03-01",54
"2023-04-01",63
"2023-05-01",48
"2023-06-01",56
"2023-07-01",54
"2023-08-01",57
"2023-09-01",61
"2023-10-01",42
"2023-11-01",38
"2023-12-01",59
"2024-01-01",48
"2024-02-01",70
"2024-03-01",54
"2024-04-01",48
"2024-05-01",48
"2024-06-01",70
"2024-07-01",60
"2024-08-01",80
"2024-09-01",61
"2024-10-01",75
"2024-11-01",67
"2024-12-01",68
"2025-01-01",68
"2025-02-01",77
"2025-03-01",67
"2025-04-01",71
"2025-05-01",88
"2025-06-01",79
"2025-07-01",82
"2025-08-01",67
"2025-09-01",49
"2025-10-01",81
"2025-11-01",84
"2025-12-01",81
"2026-01-01",90
"2026-02-01",81
"2026-03-01",76
"2026-04-01",100
